City,State,Latitude,Longitude
Hinsdale,NY,42.203691,-78.407
Palm Valley,FL,30.164918,-81.378181
Pensacola,FL,30.61428,-87.275772
Canal Point,FL,26.900359,-80.60368
Dayton,MD,39.24367,-76.99782
Rosedale,MD,39.33224,-76.50365
Kitzmiller,MD,39.395674,-79.20096
Ridgely,MD,38.88927,-75.861191
Church View,VA,37.674655,-76.68104
Hatboro,PA,40.178076,-75.1067
Auburn,NY,43.163364,-76.509567
Delafield,WI,43.05348,-88.39844
Turtle Lake,WI,45.407855,-92.15619
Zumbro Falls,MN,44.24431,-92.41336
Hatchechubbee,AL,32.297792,-85.31205
Pigeon Forge,TN,35.880902,-83.556134
Green Creek,NJ,39.056521,-74.816619
Excelsior,PA,40.769908,-76.49366
Princeton,TX,33.14572,-96.49664
Daingerfield,TX,33.02583,-94.72481
Rosston,TX,33.487842,-97.421155
Corning,KS,39.655741,-96.03394
Elaine,AR,34.305697,-90.85597
Norfork,AR,36.23638,-92.372635
Tulsa,OK,36.302391,-95.960472
Tupelo,OK,34.626083,-96.43083
Kilbourne,OH,40.328773,-82.95824
South Solon,OH,39.721965,-83.58093
Toledo,OH,41.686778,-83.43943
Olmsted Falls,OH,41.373949,-81.91507
Arcola,MO,37.557203,-93.86589
Vidalia,LA,31.540784,-91.48698
Charlotte,NC,35.26002,-80.804151
Mount Olive,NC,35.184516,-78.06056
Alden,MI,44.877741,-85.24163
Dike,IA,42.463161,-92.66183
Estherville,IA,43.401328,-94.81524
Mayville,WI,43.499518,-88.53911
Lakehead,CA,40.939342,-122.42246
Happy,TX,34.759887,-101.83116
Incline Village,NV,39.256357,-119.946371
Borrego Springs,CA,33.184028,-116.26597
Dameron,MD,38.135718,-76.33865
Curtis Bay,MD,39.211758,-76.56623
Providence,RI,41.82275,-71.414451
Hancock,NH,42.975105,-71.98913
Newport,VT,44.936237,-72.19921
Hudson,NY,42.22948,-73.75846
Bolton Landing,NY,43.582318,-73.65515
Camillus,NY,43.039916,-76.28757
Tatamy,PA,40.740769,-75.25335
Erving,MA,42.607051,-72.41396
Accord,MA,41.970474,-70.701357
Collinwood,TN,35.148316,-87.745118
Brush Creek,TN,36.141741,-86.00868
Louisville,KY,38.270855,-85.48322
Cairo,GA,30.87039,-84.21343
Fort Lauderdale,FL,26.182161,-80.13341
Preble,IN,40.83204,-85.005402
Spencer,IN,39.290029,-86.77844
Fruitland Park,FL,28.859765,-81.90184
Bremen,AL,33.952939,-87.02889
Crystal Hill,VA,36.861612,-78.91187
Poca,WV,38.49008,-81.79515
Lansing,WV,38.079509,-81.06238
Parkers Lake,KY,36.881682,-84.42143
Livonia,MI,42.427835,-83.36299
Galt,CA,38.267544,-121.29723
Placerville,CA,38.724682,-120.79533
Echo,OR,45.720228,-119.22894
Casper,WY,42.791242,-106.53986
Peridot,AZ,33.262553,-110.5231
Camp Verde,AZ,34.556478,-111.84375
Blum,TX,32.122106,-97.41864
Eskridge,KS,38.8421,-96.12775
Omaha,NE,41.334947,-95.95924
Erwin,SD,44.494263,-97.42038
Fort Meade,SD,44.40932,-103.455428
Watford City,ND,47.835713,-103.22565
Lodge Grass,MT,45.272302,-107.45873
Mayfield,MI,44.635328,-85.5614
Niagara,WI,45.732689,-87.96996
South Charleston,OH,39.840367,-83.65813
Cynthiana,OH,39.172214,-83.34842
La Crosse,IN,41.316401,-86.87244
Servia,IN,40.848927,-85.792501
Wilson,LA,30.925815,-91.09672
Saint Paul,MN,44.743963,-93.20624
Minneapolis,MN,45.015914,-93.47188
Warren,MI,42.516851,-82.982757
Baroda,MI,41.944869,-86.48827
Gable,SC,33.845399,-80.13052
Lakemore,OH,41.020256,-81.4359
Lyles,TN,35.882639,-87.31395
Allons,TN,36.525275,-85.36148
Autryville,NC,35.020272,-78.614
Cherrylog,GA,34.801665,-84.37931
Dougherty,OK,34.400476,-97.05041
Fox,OK,34.354547,-97.4843
Manchester,OK,36.949144,-98.04938
Eagletown,OK,34.138965,-94.55407
Malakoff,TX,32.183649,-96.01862
Clayton,TX,32.102729,-94.493543
Wolcott,CO,39.731182,-106.62705
Logan,UT,41.684253,-111.783783
Mill Creek,CA,40.310324,-121.43316
Tahoe City,CA,39.177383,-120.14607
New Salem,PA,39.936535,-79.84669
Carlton,PA,41.452879,-80.0222
Burnt Cabins,PA,40.079326,-77.90039
Ravine,PA,40.722587,-76.229623
Shickshinny,PA,41.184223,-76.19361
Centreville,VA,38.851221,-77.44998
Midlothian,VA,37.427988,-77.64868
Roanoke,VA,37.229786,-80.02477
Contoocook,NH,43.204192,-71.70711
Spencerville,OK,34.146827,-95.37358
Cedar Hill,TX,32.588536,-96.94949
Castle Rock,CO,39.453833,-104.885409
Bonanza,UT,40.443106,-109.505593
Flatonia,TX,29.719856,-97.1249
Estelline,TX,34.545031,-100.43729
Grayland,WA,46.781978,-124.08111
Wagon Mound,NM,36.02239,-104.65018
Las Vegas,NV,35.927901,-114.972061
Lindsay,CA,36.201983,-119.08589
Sneads Ferry,NC,34.52072,-77.42096
Bakersville,NC,36.033454,-82.16858
Cape Coral,FL,26.552895,-81.94861
Sarasota,FL,27.336973,-82.51506
Coker,AL,33.249332,-87.67217
Huntsville,AL,34.733964,-86.522913
Avawam,KY,37.22539,-83.273609
Shadyside,OH,39.964553,-80.76013
Machiasport,ME,44.632707,-67.39416
Bridgewater Corners,VT,43.608849,-72.6799
Springfield,MA,42.128442,-72.50932
Lancaster,MA,42.473131,-71.67946
Dudley,MA,42.049864,-71.9173
Haverhill,MA,42.757767,-71.08518
Annandale,VA,38.830345,-77.21387
Middletown,VA,39.023035,-78.2809
Etlan,VA,38.527816,-78.25117
Richmond,VA,37.505147,-77.46101
Junior,WV,38.97639,-79.95201
North Springfield,PA,41.999881,-80.42585
Claysburg,PA,40.290914,-78.48646
Philadelphia,PA,40.001811,-75.11787
New Galilee,PA,40.853014,-80.40181
New York,NY,40.752859,-73.97608
Ontario,CA,34.057561,-117.66563
Santa Barbara,CA,34.262834,-119.848555
Fall Creek,OR,43.958389,-122.75701
Imnaha,OR,45.479993,-116.79861
Trout Lake,WA,45.981582,-121.5395
Vancouver,WA,45.647667,-122.66162
Oxford,MD,38.690831,-76.14666
Grand Bay,AL,30.487783,-88.32722
Adrian,TX,35.2195,-102.71795
Loraine,TX,32.409433,-100.71285
Lamar,CO,38.08759,-102.61855
Robertson,WY,41.10401,-110.53733
Craigmont,ID,46.223309,-116.48168
Boys Town,NE,41.25973,-96.12833
Crete,NE,40.620175,-96.96099
Goehner,NE,40.832663,-97.22019
Sunshine,LA,30.287104,-91.15362
Ashland,LA,32.129489,-93.08273
Keatchie,LA,32.168532,-93.95402
Royal,AR,34.522254,-93.25662
Poplar Grove,AR,34.554559,-90.84231
Russellville,AR,35.278429,-93.13682
Peoria,AZ,33.276539,-112.18717
Overgaard,AZ,34.392829,-110.52048
Linneus,MO,39.884096,-93.19234
Lowry City,MO,38.137769,-93.73225
Searles,MN,44.302893,-94.738827
Halma,MN,48.655487,-96.59592
Hale,MI,44.379147,-83.83539
Bear Lake,MI,44.433903,-86.12625
Winterset,IA,41.332618,-94.03802
Steens,MS,33.615277,-88.31031
Gonzalez,FL,30.581825,-87.292918
Crystal Beach,FL,28.088443,-82.77834
Glen Allen,AL,33.909001,-87.73186
Dresden,OH,40.130754,-82.01637
Richland Center,WI,43.361048,-90.40776
Cornucopia,WI,46.802909,-91.10944
New Athens,IL,38.318253,-89.88852
Springfield,IL,39.749457,-89.606017
Hester,LA,30.019278,-90.77619
Toyah,TX,31.306912,-103.79377
Boulder,CO,39.989135,-105.22883
Arlington,TX,32.65392,-97.08724
Waco,TX,31.547466,-97.11997
Water Valley,TX,31.663529,-100.71789
Montpelier,ND,46.638134,-98.63923
Lavelle,PA,40.763048,-76.38158
West Finley,PA,39.976027,-80.44474
Kossuth,PA,41.306317,-79.57486
Freeport,FL,30.482838,-86.1675
St. Leo,FL,28.331186,-82.252917
Naples,FL,26.252711,-81.80825
Phenix City,AL,32.484671,-85.0752
Toccopola,MS,34.248527,-89.2448
Siler,KY,36.681189,-83.95156
Spencer,OH,41.101909,-82.10234
Canton,OH,40.850683,-81.43773
Hammond,IN,41.461543,-87.372779
Sextonville,WI,43.279435,-90.287566
Gile,WI,46.429932,-90.22247
Shakopee,MN,44.776138,-93.52556
Hessel,MI,46.01207,-84.45048
Gould City,MI,46.095949,-85.71737
Rensselaer Falls,NY,44.593588,-75.32389
Ashville,PA,40.554187,-78.5406
Charlotte Hall,MD,38.458322,-76.83947
Laurel,MD,39.101646,-76.80334
Gum Spring,VA,37.801783,-77.92431
Wytopitlock,ME,45.733543,-68.05875
Plainview,NY,40.779911,-73.47948
Deport,TX,33.507909,-95.31828
Tenaha,TX,31.943273,-94.24291
Jermyn,TX,33.277727,-98.39461
Stoutsville,MO,39.539711,-91.86679
Van Buren Point,NY,42.4511,-79.415421
Bessemer,PA,40.976839,-80.49346
Woodstock,NH,43.967542,-71.840883
Waterford,CT,41.464758,-72.127301
Middle Haddam,CT,41.538017,-72.525208
New Haven,CT,41.365709,-72.927507
Millburn,NJ,40.724168,-74.29913
Afton,VA,37.987812,-78.79701
La Crosse,VA,36.678507,-78.08098
Era,TX,33.491311,-97.39136
Dickinson,TX,29.468772,-95.02689
Parker,CO,39.51474,-104.744145
Forbestown,CA,39.51642,-121.26853
Oquawka,IL,40.957929,-90.93608
Caldwell,NJ,40.79185,-74.245241
Oakwood,IL,40.121098,-87.74657
Lansdale,PA,40.237206,-75.29156
Baltimore,MD,39.295306,-76.62118
New Braunfels,TX,29.687579,-98.120104
Winnisquam,NH,43.496372,-71.519728
Westchester,IL,41.851257,-87.88351
Bailey Island,ME,43.730791,-69.99448
Pontiac,IL,40.884053,-88.63376
Norwich,VT,43.735335,-72.29086
Melrose,LA,31.612618,-92.98075
Erin,NY,42.177019,-76.66687
Counselor,NM,36.203634,-107.49441
Jacobs Creek,PA,40.134792,-79.74272
Tatum,NM,33.270355,-103.42377
Newton,TX,30.831678,-93.74869
Westdale,NY,43.399851,-75.82785
Markleton,PA,39.886916,-79.25388
Homer City,PA,40.529621,-79.14264
Camp Hill,PA,40.136687,-77.242805
Cornwall,PA,40.273968,-76.40602
Gainesville,GA,34.306188,-83.838936
Bonaire,GA,32.556668,-83.62435
Naruna,VA,37.245798,-79.133546
Rowe,VA,37.14445,-81.99735
Petroleum,WV,39.173299,-81.25595
Rockville,MD,39.087409,-77.0944
Silver Spring,MD,39.143979,-77.207617
Wingate,MD,38.286828,-76.08221
Linville,VA,38.544652,-78.86564
Schnecksville,PA,40.675741,-75.61626
Norristown,PA,40.146069,-75.38378
Trenton,NJ,40.280531,-74.712018
Bellerose,NY,40.732239,-73.72108
Norcross,GA,33.960353,-84.037859
Liverpool,NY,43.02143,-76.197701
Spindale,NC,35.360536,-81.92506
Oxford,WI,43.776098,-89.60323
Anoka,MN,45.247509,-93.418
Canton,MN,43.569417,-91.90736
Bristol,TN,36.561341,-82.16869
Huntingdon,TN,35.995802,-88.41385
North Bangor,NY,44.812315,-74.40784
Croghan,NY,43.932489,-75.29084
Boston,NY,42.627312,-78.73768
Lehighton,PA,40.828682,-75.70596
Media,PA,39.921061,-75.386136
South Houston,TX,29.66223,-95.23106
Long Mott,TX,28.525453,-96.694818
Dubois,WY,43.557529,-109.70709
Ashton,ID,44.060947,-111.40548
Dearing,KS,37.058083,-95.70982
Phillips,NE,40.895553,-98.20719
Guide Rock,NE,40.084405,-98.30306
Thedford,NE,41.918663,-100.52739
Hackett,AR,35.15875,-94.39462
Geronimo,OK,34.478901,-98.37791
Barnsdall,OK,36.549109,-96.146
Laguna Niguel,CA,33.640302,-117.769442
North Sandwich,NH,43.880005,-71.39475
Hope,NJ,40.919658,-74.984628
Hightstown,NJ,40.262809,-74.53246
Jamesburg,NJ,40.336508,-74.43302
Hingham,MA,41.970474,-70.701357
Bakerton,KY,36.898169,-85.31056
Stoutsville,OH,39.605605,-82.82656
Ridgeway,OH,40.513261,-83.57736
Jerry City,OH,41.252306,-83.60464
Marblemount,WA,48.499159,-121.43163
Viroqua,WI,43.543934,-90.89904
Littleton,IL,40.249363,-90.66845
Oakley,IL,39.869841,-88.81261
Mounds,IL,37.119739,-89.20174
Rutledge,MO,40.303327,-92.07913
Turin,IA,42.036864,-95.9662
Gambier,OH,40.351781,-82.35543
Cygnet,OH,41.240054,-83.64985
Buena Vista,NM,35.881516,-105.18498
Medical Lake,WA,47.583754,-117.68812
Saint Marys,AK,62.048263,-163.1937
Tecopa,CA,35.848556,-116.22627
Occidental,CA,38.409993,-122.98347
Whitethorn,CA,40.033316,-124.02379
Roseville,CA,38.768829,-121.33629
Westerly,RI,41.354881,-71.80387
New Hartford,CT,41.852712,-73.00492
Tolland,CT,41.87688,-72.36806
Likely,CA,41.268746,-120.42843
Daytona Beach,FL,29.022729,-81.172169
Jackson,MS,32.252147,-90.214865
Enka,NC,35.498797,-82.708024
Ware Shoals,SC,34.404535,-82.23851
Upatoi,GA,32.557718,-84.73957
Double Springs,AL,34.146713,-87.39317
Kinston,AL,31.203287,-86.15169
Joelton,TN,36.329551,-86.90949
Athens,TN,35.441376,-84.641623
Trade,TN,36.367169,-81.75553
Ellendale,TN,35.201738,-89.971538
Ronks,PA,40.003405,-76.15367
Audubon,PA,40.211896,-75.35586
Waldorf,MD,38.598185,-76.90381
Burke,VA,38.788646,-77.27888
Charleston,WV,38.296818,-81.554655
Apopka,FL,28.713173,-81.52359
Vero Beach,FL,27.709049,-80.572557
Frametown,WV,38.653616,-80.86194
Lyon,MS,34.237759,-90.48669
Puckett,MS,32.08065,-89.776
Hamilton,MI,42.679762,-85.98996
Pullman,MI,42.484769,-86.07944
Correctionville,IA,42.471378,-95.80529
Round Lake,MN,43.536338,-95.38554
Wahpeton,ND,46.28232,-96.68494
Powers Lake,ND,48.574749,-102.65064
Saint Ignatius,MT,47.317264,-114.04402
Coram,MT,48.428564,-114.01396
Lake Villa,IL,42.410687,-88.05462
Bristolville,OH,41.385826,-80.87487
Alvada,OH,41.053889,-83.41412
Advance,IN,39.996577,-86.61928
Martin,NE,40.718287,-98.52983
Clay Center,NE,40.523823,-98.04812
Bath,IL,40.167991,-90.16313
Seneca,MO,36.833365,-94.59415
Brownton,MN,44.723259,-94.33922
Urbana,IL,40.109647,-88.21246
Villa Grove,IL,39.858506,-88.15018
Allendale,IL,38.528202,-87.72913
Red Oak,TX,32.526123,-96.82325
Queen City,TX,33.210952,-94.13364
Grants Pass,OR,42.421567,-123.33749
Williams,OR,42.155392,-123.2978
Bremerton,WA,47.564437,-122.71293
Auburndale,FL,28.068865,-81.80267
Centerville,GA,32.632111,-83.67795
Dunnellon,FL,29.060092,-82.35195
Slayden,TN,36.283543,-87.458058
International Falls,MN,48.579947,-93.38142
Plummer,MN,47.915369,-96.02739
Ortley,SD,45.217342,-97.19567
Hansboro,ND,48.900063,-99.427769
Haskell,TX,33.158381,-99.718725
Daly City,CA,37.682583,-122.48209
San Francisco,CA,37.784827,-122.727802
Deer Park,CA,38.553087,-122.47725
